# names.data -- data file defining names of all attributes found in TNEF file
# sym val name
MAPI_RECIPIENT_TYPE 0x0C15 MAPI_RECIPIENT_TYPE
MAPI_REGISTERED_MAIL_TYPE 0x0C16 MAPI_REGISTERED_MAIL_TYPE
MAPI_REPLY_REQUESTED 0x0C17 MAPI_REPLY_REQUESTED
MAPI_REQUESTED_DELIVERY_METHOD 0x0C18 MAPI_REQUESTED_DELIVERY_METHOD
MAPI_SENDER_ENTRYID 0x0C19 MAPI_SENDER_ENTRYID
MAPI_SENDER_NAME 0x0C1A MAPI_SENDER_NAME
MAPI_SUPPLEMENTARY_INFO 0x0C1B MAPI_SUPPLEMENTARY_INFO
MAPI_TYPE_OF_MTS_USER 0x0C1C MAPI_TYPE_OF_MTS_USER
MAPI_SENDER_SEARCH_KEY 0x0C1D MAPI_SENDER_SEARCH_KEY
MAPI_SENDER_ADDRTYPE 0x0C1E MAPI_SENDER_ADDRTYPE
MAPI_SENDER_EMAIL_ADDRESS 0x0C1F MAPI_SENDER_EMAIL_ADDRESS
MAPI_CURRENT_VERSION 0x0E00 MAPI_CURRENT_VERSION
MAPI_DELETE_AFTER_SUBMIT 0x0E01 MAPI_DELETE_AFTER_SUBMIT
MAPI_DISPLAY_BCC 0x0E02 MAPI_DISPLAY_BCC
MAPI_DISPLAY_CC 0x0E03 MAPI_DISPLAY_CC
MAPI_DISPLAY_TO 0x0E04 MAPI_DISPLAY_TO
MAPI_PARENT_DISPLAY 0x0E05 MAPI_PARENT_DISPLAY
MAPI_MESSAGE_DELIVERY_TIME 0x0E06 MAPI_MESSAGE_DELIVERY_TIME
MAPI_MESSAGE_FLAGS 0x0E07 MAPI_MESSAGE_FLAGS
MAPI_MESSAGE_SIZE 0x0E08 MAPI_MESSAGE_SIZE
MAPI_PARENT_ENTRYID 0x0E09 MAPI_PARENT_ENTRYID
MAPI_SENTMAIL_ENTRYID 0x0E0A MAPI_SENTMAIL_ENTRYID
MAPI_CORRELATE 0x0E0C MAPI_CORRELATE
MAPI_CORRELATE_MTSID 0x0E0D MAPI_CORRELATE_MTSID
MAPI_DISCRETE_VALUES 0x0E0E MAPI_DISCRETE_VALUES
MAPI_RESPONSIBILITY 0x0E0F MAPI_RESPONSIBILITY
MAPI_SPOOLER_STATUS 0x0E10 MAPI_SPOOLER_STATUS
MAPI_TRANSPORT_STATUS 0x0E11 MAPI_TRANSPORT_STATUS
MAPI_MESSAGE_RECIPIENTS 0x0E12 MAPI_MESSAGE_RECIPIENTS
MAPI_MESSAGE_ATTACHMENTS 0x0E13 MAPI_MESSAGE_ATTACHMENTS
MAPI_SUBMIT_FLAGS 0x0E14 MAPI_SUBMIT_FLAGS
MAPI_RECIPIENT_STATUS 0x0E15 MAPI_RECIPIENT_STATUS
MAPI_TRANSPORT_KEY 0x0E16 MAPI_TRANSPORT_KEY
MAPI_MSG_STATUS 0x0E17 MAPI_MSG_STATUS
MAPI_MESSAGE_DOWNLOAD_TIME 0x0E18 MAPI_MESSAGE_DOWNLOAD_TIME
MAPI_CREATION_VERSION 0x0E19 MAPI_CREATION_VERSION
MAPI_MODIFY_VERSION 0x0E1A MAPI_MODIFY_VERSION
MAPI_HASATTACH 0x0E1B MAPI_HASATTACH
MAPI_BODY_CRC 0x0E1C MAPI_BODY_CRC
MAPI_NORMALIZED_SUBJECT 0x0E1D MAPI_NORMALIZED_SUBJECT
MAPI_RTF_IN_SYNC 0x0E1F MAPI_RTF_IN_SYNC
MAPI_ATTACH_SIZE 0x0E20 MAPI_ATTACH_SIZE
MAPI_ATTACH_NUM 0x0E21 MAPI_ATTACH_NUM
MAPI_PREPROCESS 0x0E22 MAPI_PREPROCESS
MAPI_ORIGINATING_MTA_CERTIFICATE 0x0E25 MAPI_ORIGINATING_MTA_CERTIFICATE
MAPI_PROOF_OF_SUBMISSION 0x0E26 MAPI_PROOF_OF_SUBMISSION
MAPI_ENTRYID 0x0FFF MAPI_ENTRYID
MAPI_OBJECT_TYPE 0x0FFE MAPI_OBJECT_TYPE
MAPI_ICON 0x0FFD MAPI_ICON
MAPI_MINI_ICON 0x0FFC MAPI_MINI_ICON
MAPI_STORE_ENTRYID 0x0FFB MAPI_STORE_ENTRYID
MAPI_STORE_RECORD_KEY 0x0FFA MAPI_STORE_RECORD_KEY
MAPI_RECORD_KEY 0x0FF9 MAPI_RECORD_KEY
MAPI_MAPPING_SIGNATURE 0x0FF8 MAPI_MAPPING_SIGNATURE
MAPI_ACCESS_LEVEL 0x0FF7 MAPI_ACCESS_LEVEL
MAPI_INSTANCE_KEY 0x0FF6 MAPI_INSTANCE_KEY
MAPI_ROW_TYPE 0x0FF5 MAPI_ROW_TYPE
MAPI_ACCESS 0x0FF4 MAPI_ACCESS
MAPI_ROWID 0x3000 MAPI_ROWID
MAPI_DISPLAY_NAME 0x3001 MAPI_DISPLAY_NAME
MAPI_ADDRTYPE 0x3002 MAPI_ADDRTYPE
MAPI_EMAIL_ADDRESS 0x3003 MAPI_EMAIL_ADDRESS
MAPI_COMMENT 0x3004 MAPI_COMMENT
MAPI_DEPTH 0x3005 MAPI_DEPTH
MAPI_PROVIDER_DISPLAY 0x3006 MAPI_PROVIDER_DISPLAY
MAPI_CREATION_TIME 0x3007 MAPI_CREATION_TIME
MAPI_LAST_MODIFICATION_TIME 0x3008 MAPI_LAST_MODIFICATION_TIME
MAPI_RESOURCE_FLAGS 0x3009 MAPI_RESOURCE_FLAGS
MAPI_PROVIDER_DLL_NAME 0x300A MAPI_PROVIDER_DLL_NAME
MAPI_SEARCH_KEY 0x300B MAPI_SEARCH_KEY
MAPI_PROVIDER_UID 0x300C MAPI_PROVIDER_UID
MAPI_PROVIDER_ORDINAL 0x300D MAPI_PROVIDER_ORDINAL
MAPI_FORM_VERSION 0x3301 MAPI_FORM_VERSION
MAPI_FORM_CLSID 0x3302 MAPI_FORM_CLSID
MAPI_FORM_CONTACT_NAME 0x3303 MAPI_FORM_CONTACT_NAME
MAPI_FORM_CATEGORY 0x3304 MAPI_FORM_CATEGORY
MAPI_FORM_CATEGORY_SUB 0x3305 MAPI_FORM_CATEGORY_SUB
MAPI_FORM_HOST_MAP 0x3306 MAPI_FORM_HOST_MAP
MAPI_FORM_HIDDEN 0x3307 MAPI_FORM_HIDDEN
MAPI_FORM_DESIGNER_NAME 0x3308 MAPI_FORM_DESIGNER_NAME
MAPI_FORM_DESIGNER_GUID 0x3309 MAPI_FORM_DESIGNER_GUID
MAPI_FORM_MESSAGE_BEHAVIOR 0x330A MAPI_FORM_MESSAGE_BEHAVIOR
MAPI_DEFAULT_STORE 0x3400 MAPI_DEFAULT_STORE
MAPI_STORE_SUPPORT_MASK 0x340D MAPI_STORE_SUPPORT_MASK
MAPI_STORE_STATE 0x340E MAPI_STORE_STATE
MAPI_IPM_SUBTREE_SEARCH_KEY 0x3410 MAPI_IPM_SUBTREE_SEARCH_KEY
MAPI_IPM_OUTBOX_SEARCH_KEY 0x3411 MAPI_IPM_OUTBOX_SEARCH_KEY
MAPI_IPM_WASTEBASKET_SEARCH_KEY 0x3412 MAPI_IPM_WASTEBASKET_SEARCH_KEY
MAPI_IPM_SENTMAIL_SEARCH_KEY 0x3413 MAPI_IPM_SENTMAIL_SEARCH_KEY
MAPI_MDB_PROVIDER 0x3414 MAPI_MDB_PROVIDER
MAPI_RECEIVE_FOLDER_SETTINGS 0x3415 MAPI_RECEIVE_FOLDER_SETTINGS
MAPI_VALID_FOLDER_MASK 0x35DF MAPI_VALID_FOLDER_MASK
MAPI_IPM_SUBTREE_ENTRYID 0x35E0 MAPI_IPM_SUBTREE_ENTRYID
MAPI_IPM_OUTBOX_ENTRYID 0x35E2 MAPI_IPM_OUTBOX_ENTRYID
MAPI_IPM_WASTEBASKET_ENTRYID 0x35E3 MAPI_IPM_WASTEBASKET_ENTRYID
MAPI_IPM_SENTMAIL_ENTRYID 0x35E4 MAPI_IPM_SENTMAIL_ENTRYID
MAPI_VIEWS_ENTRYID 0x35E5 MAPI_VIEWS_ENTRYID
MAPI_COMMON_VIEWS_ENTRYID 0x35E6 MAPI_COMMON_VIEWS_ENTRYID
MAPI_FINDER_ENTRYID 0x35E7 MAPI_FINDER_ENTRYID
MAPI_CONTAINER_FLAGS 0x3600 MAPI_CONTAINER_FLAGS
MAPI_FOLDER_TYPE 0x3601 MAPI_FOLDER_TYPE
MAPI_CONTENT_COUNT 0x3602 MAPI_CONTENT_COUNT
MAPI_CONTENT_UNREAD 0x3603 MAPI_CONTENT_UNREAD
MAPI_CREATE_TEMPLATES 0x3604 MAPI_CREATE_TEMPLATES
MAPI_DETAILS_TABLE 0x3605 MAPI_DETAILS_TABLE
MAPI_SEARCH 0x3607 MAPI_SEARCH
MAPI_SELECTABLE 0x3609 MAPI_SELECTABLE
MAPI_SUBFOLDERS 0x360A MAPI_SUBFOLDERS
MAPI_STATUS 0x360B MAPI_STATUS
MAPI_ANR 0x360C MAPI_ANR
MAPI_CONTENTS_SORT_ORDER 0x360D MAPI_CONTENTS_SORT_ORDER
MAPI_CONTAINER_HIERARCHY 0x360E MAPI_CONTAINER_HIERARCHY
MAPI_CONTAINER_CONTENTS 0x360F MAPI_CONTAINER_CONTENTS
MAPI_FOLDER_ASSOCIATED_CONTENTS 0x3610 MAPI_FOLDER_ASSOCIATED_CONTENTS
MAPI_DEF_CREATE_DL 0x3611 MAPI_DEF_CREATE_DL
MAPI_DEF_CREATE_MAILUSER 0x3612 MAPI_DEF_CREATE_MAILUSER
MAPI_CONTAINER_CLASS 0x3613 MAPI_CONTAINER_CLASS
MAPI_CONTAINER_MODIFY_VERSION 0x3614 MAPI_CONTAINER_MODIFY_VERSION
MAPI_AB_PROVIDER_ID 0x3615 MAPI_AB_PROVIDER_ID
MAPI_DEFAULT_VIEW_ENTRYID 0x3616 MAPI_DEFAULT_VIEW_ENTRYID
MAPI_ASSOC_CONTENT_COUNT 0x3617 MAPI_ASSOC_CONTENT_COUNT
MAPI_ATTACHMENT_X400_PARAMETERS 0x3700 MAPI_ATTACHMENT_X400_PARAMETERS
MAPI_ATTACH_DATA_OBJ 0x3701 MAPI_ATTACH_DATA_OBJ
MAPI_ATTACH_ENCODING 0x3702 MAPI_ATTACH_ENCODING
MAPI_ATTACH_EXTENSION 0x3703 MAPI_ATTACH_EXTENSION
MAPI_ATTACH_FILENAME 0x3704 MAPI_ATTACH_FILENAME
MAPI_ATTACH_METHOD 0x3705 MAPI_ATTACH_METHOD
MAPI_ATTACH_LONG_FILENAME 0x3707 MAPI_ATTACH_LONG_FILENAME
MAPI_ATTACH_PATHNAME 0x3708 MAPI_ATTACH_PATHNAME
MAPI_ATTACH_RENDERING 0x3709 MAPI_ATTACH_RENDERING
MAPI_ATTACH_TAG 0x370A MAPI_ATTACH_TAG
MAPI_RENDERING_POSITION 0x370B MAPI_RENDERING_POSITION
MAPI_ATTACH_TRANSPORT_NAME 0x370C MAPI_ATTACH_TRANSPORT_NAME
MAPI_ATTACH_LONG_PATHNAME 0x370D MAPI_ATTACH_LONG_PATHNAME
MAPI_ATTACH_MIME_TAG 0x370E MAPI_ATTACH_MIME_TAG
MAPI_ATTACH_ADDITIONAL_INFO 0x370F MAPI_ATTACH_ADDITIONAL_INFO
MAPI_DISPLAY_TYPE 0x3900 MAPI_DISPLAY_TYPE
MAPI_TEMPLATEID 0x3902 MAPI_TEMPLATEID
MAPI_PRIMARY_CAPABILITY 0x3904 MAPI_PRIMARY_CAPABILITY
MAPI_7BIT_DISPLAY_NAME 0x39FF MAPI_7BIT_DISPLAY_NAME
MAPI_ACCOUNT 0x3A00 MAPI_ACCOUNT
MAPI_ALTERNATE_RECIPIENT 0x3A01 MAPI_ALTERNATE_RECIPIENT
MAPI_CALLBACK_TELEPHONE_NUMBER 0x3A02 MAPI_CALLBACK_TELEPHONE_NUMBER
MAPI_CONVERSION_PROHIBITED 0x3A03 MAPI_CONVERSION_PROHIBITED
MAPI_DISCLOSE_RECIPIENTS 0x3A04 MAPI_DISCLOSE_RECIPIENTS
MAPI_GENERATION 0x3A05 MAPI_GENERATION
MAPI_GIVEN_NAME 0x3A06 MAPI_GIVEN_NAME
MAPI_GOVERNMENT_ID_NUMBER 0x3A07 MAPI_GOVERNMENT_ID_NUMBER
MAPI_BUSINESS_TELEPHONE_NUMBER 0x3A08 MAPI_BUSINESS_TELEPHONE_NUMBER
MAPI_HOME_TELEPHONE_NUMBER 0x3A09 MAPI_HOME_TELEPHONE_NUMBER
